region_id,lat,capacity,electric_bike_surcharge_waiver,legacy_id,has_kiosk,station_type,lon,rental_methods/0,rental_methods/1,station_id,short_name,eightd_has_key_dispenser,name
71,40.6792788,27,FALSE,3419,TRUE,classic,-73.98154004,CREDITCARD,KEY,3419,4175.14,FALSE,Douglass St & 4 Ave
71,40.6802133,21,FALSE,3420,TRUE,classic,-73.98432695,CREDITCARD,KEY,3420,4217.02,FALSE,Douglass St & 3 Ave
71,40.6843549,23,FALSE,3421,TRUE,classic,-73.98901629,CREDITCARD,KEY,3421,4330.09,FALSE,Hoyt St & Warren St
71,40.6859296,21,FALSE,3422,TRUE,classic,-74.00242364,CREDITCARD,KEY,3422,4422.04,FALSE,Columbia St & Degraw St
71,40.66106337,29,FALSE,3423,TRUE,classic,-73.97945255,CREDITCARD,KEY,3423,3651.04,FALSE,West Drive & Prospect Park West
71,40.791976,27,FALSE,3424,TRUE,classic,-73.945993,CREDITCARD,KEY,3424,7504.18,FALSE,E 106 St & Lexington Ave
71,40.7892105,33,FALSE,3425,TRUE,classic,-73.94370784,CREDITCARD,KEY,3425,7436.11,FALSE,2 Ave & E 104 St
71,40.68506807,39,FALSE,3429,TRUE,classic,-73.9779076,CREDITCARD,KEY,3429,4395.07,FALSE,Hanson Pl & Ashland Pl
71,40.71907891,25,FALSE,3430,TRUE,classic,-73.9422369,CREDITCARD,KEY,3430,5433.03,FALSE,Richardson St & N Henry St
71,40.718822,45,FALSE,3435,TRUE,classic,-73.99596,CREDITCARD,KEY,3435,5382.06,FALSE,Grand St & Elizabeth St
71,40.721319,35,FALSE,3436,TRUE,classic,-74.010065,CREDITCARD,KEY,3436,5470.1,FALSE,Greenwich St & Hubert St
71,40.79313481,58,FALSE,3437,TRUE,classic,-73.97700369,CREDITCARD,KEY,3437,7524.16,FALSE,Riverside Dr & W 91 St
71,40.69241829,47,FALSE,3440,TRUE,classic,-73.98949474,CREDITCARD,KEY,3440,4637.06,FALSE,Fulton St & Adams St
71,40.76132983,40,FALSE,3443,TRUE,classic,-73.97982001,CREDITCARD,KEY,3443,6740.01,FALSE,W 52 St & 6 Ave
71,40.71915572,43,FALSE,3452,TRUE,classic,-73.94885391,CREDITCARD,KEY,3452,5442.05,FALSE,Bayard St & Leonard St
71,40.71335226,19,FALSE,3453,TRUE,classic,-73.94910336,CREDITCARD,KEY,3453,5259.06,FALSE,Devoe St & Lorimer St
71,40.71036854,24,FALSE,3454,TRUE,classic,-73.94705951,CREDITCARD,KEY,3454,5148.03,FALSE,Leonard St & Maujer St
71,40.71638032,22,FALSE,3456,TRUE,classic,-73.94821286,CREDITCARD,KEY,3456,5332.1,FALSE,Jackson St & Leonard St
71,40.76302594,46,FALSE,3457,TRUE,classic,-73.97209525,CREDITCARD,KEY,3457,6839.04,FALSE,E 58 St & Madison Ave
71,40.75763228,0,FALSE,3459,TRUE,classic,-73.96930575,CREDITCARD,KEY,3459,6617.02,FALSE,E 53 St & 3 Ave
71,40.71485151,33,FALSE,3461,TRUE,classic,-74.01122332,CREDITCARD,KEY,3461,5288.12,FALSE,Murray St & Greenwich St
71,40.75118387,39,FALSE,3462,TRUE,classic,-73.97138715,CREDITCARD,KEY,3462,6422.09,FALSE,E 44 St & 2 Ave
71,40.73536706,36,FALSE,3463,TRUE,classic,-73.98797393,CREDITCARD,KEY,3463,5938.11,FALSE,E 16 St & Irving Pl
71,40.72494672,79,FALSE,3467,TRUE,classic,-74.00165856,CREDITCARD,KEY,3467,5569.06,FALSE,W Broadway & Spring St
71,40.73181402,23,FALSE,3469,TRUE,classic,-73.95995021,CREDITCARD,KEY,3469,5794.03,FALSE,India St & West St
71,40.74275383,39,FALSE,3472,TRUE,classic,-74.00747359,CREDITCARD,KEY,3472,6115.09,FALSE,W 15 St & 10 Ave
71,40.65539977,33,FALSE,3477,TRUE,classic,-74.01062787,CREDITCARD,KEY,3477,3501.01,FALSE,39 St & 2 Ave
71,40.65708867,43,FALSE,3478,TRUE,classic,-74.00870204,CREDITCARD,KEY,3478,3460.01,FALSE,2 Ave & 36 St
70,40.71649,22,FALSE,3481,TRUE,classic,-74.04105,CREDITCARD,KEY,3481,JC096,FALSE,York St
70,40.71942,14,FALSE,3483,TRUE,classic,-74.05099,CREDITCARD,KEY,3483,JC099,FALSE,Montgomery St
71,40.68841743,30,FALSE,3486,TRUE,classic,-73.98451656,CREDITCARD,KEY,3486,4479.08,FALSE,Schermerhorn St & Bond St
71,40.796879,31,FALSE,3490,TRUE,classic,-73.937261,CREDITCARD,KEY,3490,7563.06,FALSE,E 116 St & 2 Ave
